ROLL,Category,Class
111016,Talentpool,১০ম
111513,Talentpool,১০ম
111522,Talentpool,১০ম
311012,Talentpool,১০ম
311013,Talentpool,১০ম
311510,Talentpool,১০ম
311511,Talentpool,১০ম
141544,Talentpool,৪র্থ
141553,Talentpool,৪র্থ
141571,Talentpool,৪র্থ
141580,Talentpool,৪র্থ
141581,Talentpool,৪র্থ
141585,Talentpool,৪র্থ
341002,Talentpool,৪র্থ
341529,Talentpool,৪র্থ
151076,Talentpool,৫ম
151589,Talentpool,৫ম
151593,Talentpool,৫ম
151594,Talentpool,৫ম
151625,Talentpool,৫ম
151663,Talentpool,৫ম
151715,Talentpool,৫ম
161018,Talentpool,৬ষ্ঠ
161072,Talentpool,৬ষ্ঠ
161519,Talentpool,৬ষ্ঠ
161545,Talentpool,৬ষ্ঠ
161546,Talentpool,৬ষ্ঠ
161581,Talentpool,৬ষ্ঠ
261549,Talentpool,৬ষ্ঠ
361008,Talentpool,৬ষ্ঠ
171555,Talentpool,৭ম
171571,Talentpool,৭ম
271534,Talentpool,৭ম
271539,Talentpool,৭ম
371038,Talentpool,৭ম
371039,Talentpool,৭ম
371530,Talentpool,৭ম
181032,Talentpool,৮ম
181033,Talentpool,৮ম
181046,Talentpool,৮ম
181048,Talentpool,৮ম
181049,Talentpool,৮ম
281535,Talentpool,৮ম
191047,Talentpool,৯ম
191523,Talentpool,৯ম
191536,Talentpool,৯ম
291032,Talentpool,৯ম
292512,Talentpool,৯ম
391005,Talentpool,৯ম
111006,General,১০ম
111535,General,১০ম
111536,General,১০ম
211511,General,১০ম
311003,General,১০ম
311008,General,১০ম
311015,General,১০ম
311016,General,১০ম
311504,General,১০ম
141062,General,৪র্থ
141076,General,৪র্থ
141085,General,৪র্থ
141109,General,৪র্থ
141111,General,৪র্থ
141128,General,৪র্থ
141137,General,৪র্থ
141525,General,৪র্থ
141558,General,৪র্থ
141596,General,৪র্থ
142501,General,৪র্থ
241054,General,৪র্থ
241056,General,৪র্থ
241552,General,৪র্থ
241591,General,৪র্থ
341003,General,৪র্থ
341015,General,৪র্থ
341523,General,৪র্থ
341530,General,৪র্থ
151036,General,৫ম
151070,General,৫ম
151072,General,৫ম
151078,General,৫ম
151505,General,৫ম
151512,General,৫ম
151590,General,৫ম
151591,General,৫ম
151596,General,৫ম
151599,General,৫ম
151619,General,৫ম
151624,General,৫ম
151626,General,৫ম
151738,General,৫ম
251036,General,৫ম
351030,General,৫ম
351072,General,৫ম
351552,General,৫ম
351554,General,৫ম
161016,General,৬ষ্ঠ
161019,General,৬ষ্ঠ
161027,General,৬ষ্ঠ
161033,General,৬ষ্ঠ
161071,General,৬ষ্ঠ
161087,General,৬ষ্ঠ
161122,General,৬ষ্ঠ
161542,General,৬ষ্ঠ
161556,General,৬ষ্ঠ
161608,General,৬ষ্ঠ
161610,General,৬ষ্ঠ
261562,General,৬ষ্ঠ
361004,General,৬ষ্ঠ
361009,General,৬ষ্ঠ
361022,General,৬ষ্ঠ
361026,General,৬ষ্ঠ
171025,General,৭ম
171044,General,৭ম
171045,General,৭ম
171076,General,৭ম
171084,General,৭ম
171115,General,৭ম
171516,General,৭ম
171517,General,৭ম
171518,General,৭ম
171543,General,৭ম
171549,General,৭ম
171552,General,৭ম
171553,General,৭ম
371031,General,৭ম
371527,General,৭ম
181002,General,৮ম
181021,General,৮ম
181042,General,৮ম
181044,General,৮ম
181063,General,৮ম
181071,General,৮ম
181542,General,৮ম
181550,General,৮ম
182005,General,৮ম
281050,General,৮ম
281541,General,৮ম
381016,General,৮ম
381019,General,৮ম
381023,General,৮ম
381537,General,৮ম
191029,General,৯ম
191030,General,৯ম
191516,General,৯ম
191524,General,৯ম
191525,General,৯ম
191527,General,৯ম
191533,General,৯ম
191546,General,৯ম
391004,General,৯ম
391024,General,৯ম
111027,Special,১০ম
111028,Special,১০ম
111511,Special,১০ম
111512,Special,১০ম
111516,Special,১০ম
111517,Special,১০ম
211509,Special,১০ম
212006,Special,১০ম
311007,Special,১০ম
311010,Special,১০ম
311011,Special,১০ম
311017,Special,১০ম
311507,Special,১০ম
311515,Special,১০ম
312005,Special,১০ম
312006,Special,১০ম
141055,Special,৪র্থ
141078,Special,৪র্থ
141084,Special,৪র্থ
141513,Special,৪র্থ
141532,Special,৪র্থ
141543,Special,৪র্থ
141546,Special,৪র্থ
141565,Special,৪র্থ
141583,Special,৪র্থ
141605,Special,৪র্থ
141611,Special,৪র্থ
241503,Special,৪র্থ
241510,Special,৪র্থ
241561,Special,৪র্থ
241606,Special,৪র্থ
242011,Special,৪র্থ
